Chimpanzee AU Combinations 
22+25+26+50+M69+G85+S101
22+25+26+50+M69+S100
22+25+26+50+M69+S100+S101
22+25+26+50+M69+S101
22+25+26+50+S100
22+25+26+50+S100+S101
22+25+26+50+S101
22+25+26+M51+M69+G85
22+25+26+M51+M69+S100+S101
22+25+26+M52+50+M69+S101
22+25+26+M52+M69+S100+S101
22+25+26+M52+M69+S101
22+25+26+M54+M69+S101
22+25+26+M69
22+25+26+M69+G85
22+25+26+M69+G85+S100+S101
22+25+26+M69+S100
22+25+26+M69+S100+S101
22+25+26+M69+S101
22+25+26+S100
22+25+26+S100+S101
22+25+26+S101
22+25+27+50
22+25+27+50+M69+S100+S101
22+25+27+50+M69+S101
22+25+27+50+S100+S101
22+25+27+50+S101
22+25+50
22+25+50+M69
22+25+50+M69+G85+S101
22+25+50+M69+S100+S101
22+25+G85+S100+S101
22+25+M51+M69
22+25+M52+M69
22+25+M53+M69+S100
22+25+M53+M69+S100+S101
22+25+M53+M69+S101
22+25+M69
22+25+M69+S100
22+25+M69+S100+S101
22+25+M69+S101
22+25+S100+S101
22+25+S101
22+33+M69+S100
22+33+S100
22+M54+M69+S101
22+S101
24+25+26+M54+M69
25+26
25+26+160
25+26+160+M51+M69+S101
25+26+160+M52+M69+S100+S101
25+26+160+M53+M69+S101
25+26+160+M54+M69+S100+S101
25+26+160+M69
25+26+160+M69+G84+G85
25+26+160+M69+G85
25+26+160+M69+S100
25+26+160+M69+S100+S101
25+26+160+M69+S101
25+26+160+S100+S101
25+26+160+S101
25+26+43+160+S100
25+26+50+160+M51+M69+S101
25+26+50+160+M69+S100
25+26+50+160+M69+S100+S101
25+26+50+160+M69+S101
25+26+M51+M69
25+26+M51+M69+S101
25+26+M52+M53
25+26+M52+M53+M69
25+26+M52+M53+M69+S101
25+26+M53+M69
25+26+M54+M69
25+26+M54+M69+S101
25+26+M69
25+26+M69+S100
25+26+M69+S100+S101
25+26+M69+S101
25+26+S101
25+27
25+27+160+S100
25+27+M51+M69+S101
25+27+M53+M69
25+27+M69
25+27+M69+S100+S101
25+27+M69+S101
25+27+S100+S101
6+10+12+16+25
6+10+12+16+25+26
6+10+12+16+25+26+43+50+S101
6+10+12+16+25+26+50+M69+G85+S100+S101
6+10+12+16+25+26+50+M69+S100+S101
6+10+12+16+25+26+50+M69+S101
6+10+12+16+25+26+50+S100+S101
6+10+12+16+25+26+50+S101
6+10+12+16+25+26+M51
6+10+12+16+25+26+M69+S100+S101
6+10+12+16+25+26+M69+S101
6+10+12+16+25+26+S100+S101
6+10+12+16+25+26+S101
6+10+12+16+25+27+50+M69+S101
6+10+12+16+25+27+50+S100+S101
6+10+12+16+25+27+50+S101
6+10+12+16+25+G85
6+12+16+25+26+43+S101
6+12+16+25+26+M54+M69+S101
6+12+16+25+26+M69+S100
6+12+16+25+26+M69+S100+S101
6+12+16+25+26+M69+S101
6+12+16+25+26+S100
6+12+16+25+26+S100+S101
6+12+16+25+26+S101
6+12+16+25+27+M52+M69+S101
6+12+16+25+27+M69+S100+S101
6+12+16+25+M69+S100+S101
6+12+16+25+M69+S101
6+12+16+25+S101
6+12+25+26+160+S100+S101
6+12+25+26+S100+S101
6+9+10+12+16+25+26+50+S100+S101
6+9+10+12+16+25+26+50+S101
9+10+12+16+25+26+50+S100+S101
9+10+12+16+25+26+50+S101
9+10+12+16+25+26+M69
9+10+12+16+25+26+M69+S100
9+10+12+16+25+26+M69+S100+S101
9+10+12+16+25+26+M69+S101
9+10+12+16+25+26+S101
9+10+12+16+25+27+43+50+M69+S101
9+10+12+16+25+27+50+M69+S100+s101
9+10+12+16+25+27+50+M69+S101
9+10+12+16+25+27+50+S101
9+10+12+16+25+27+M69+S100+S101
9+10+12+16+25+27+M69+S101
9+10+16+25+26+M69+S101
9+10+16+25+26+S100+S101
9+10+16+25+26+S101
9+10+16+25+27+M69+S100+S101
9+10+19+25+26+M69+S101
9+10+19+25+26+S101
9+10+25+26+M52+M53+M69+S101
9+12+16+25+26+M69+S100+S101
9+16+25+26+S101
G85
G85+M69+S101
G85+S100+S101
G85+S101
M51+M69+G85
M52+M69+G85+S101
M69+G84+S101
M69+G85
M69+G85+S100+S101
M69+G85+S101
